instance,ub,lb,T,R,job,due_date,p_machine1,p_machine2,p_machine3,p_machine4,p_machine5,p_machine6,p_machine7,p_machine8,p_machine9,p_machine10
1,3025,2907,0.2,0.2,49,2353,32,25,41,91,24,15,87,59,54,39
1,3025,2907,0.2,0.2,50,2142,90,87,96,31,94,3,65,5,77,27
1,3025,2907,0.2,0.6,1,2107,46,61,3,51,37,79,83,22,27,24
1,3025,2907,0.2,0.6,2,3112,52,87,1,24,16,93,87,29,92,47
1,3025,2907,0.2,0.6,3,2730,79,51,58,21,42,68,38,99,75,39
1,3025,2907,0.2,0.6,4,2498,45,25,85,57,47,75,38,25,94,66
1,3025,2907,0.2,0.6,5,1726,97,73,33,69,94,37,86,98,18,41
1,3025,2907,0.2,0.6,6,1726,10,93,71,51,14,44,67,55,41,46
1,3025,2907,0.2,0.6,7,1555,44,28,58,50,94,34,23,80,37,24
1,3025,2907,0.2,0.6,8,2964,24,90,56,51,34,39,19,82,58,23
1,3025,2907,0.2,0.6,9,2502,85,94,64,21,72,76,97,33,56,68
1,3025,2907,0.2,0.6,10,2689,75,59,43,19,36,62,78,68,20,50
1,3025,2907,0.2,0.6,11,1489,66,64,48,63,88,74,66,47,2,93
1,3025,2907,0.2,0.6,12,3145,49,2,69,91,51,28,67,74,39,22
1,3025,2907,0.2,0.6,13,2905,95,16,96,11,41,78,7,26,91,64
1,3025,2907,0.2,0.6,14,1824,61,35,35,6,71,43,23,61,81,81
1,3025,2907,0.2,0.6,15,1771,19,53,82,31,94,98,67,95,33,94
1,3025,2907,0.2,0.6,16,1773,47,40,53,63,99,83,8,55,14,97
1,3025,2907,0.2,0.6,17,1984,84,81,64,36,11,91,77,11,88,54
1,3025,2907,0.2,0.6,18,2369,13,26,11,39,97,27,71,42,22,82
1,3025,2907,0.2,0.6,19,2207,11,85,61,57,44,6,85,72,36,11
1,3025,2907,0.2,0.6,20,1961,19,4,36,47,77,82,29,14,65,91
1,3025,2907,0.2,0.6,21,2521,98,4,53,56,69,60,49,8,79,23
1,3025,2907,0.2,0.6,22,1697,2,10,87,65,91,44,3,98,23,32
1,3025,2907,0.2,0.6,23,1963,85,63,88,59,38,43,94,90,66,26
1,3025,2907,0.2,0.6,24,2093,44,96,10,4,25,76,76,36,5,22
1,3025,2907,0.2,0.6,25,2249,7,55,32,10,87,99,95,75,15,12
1,3025,2907,0.2,0.6,26,2823,73,71,38,12,7,66,48,69,51,23
1,3025,2907,0.2,0.6,27,1802,19,66,25,62,66,11,4,26,2,34
1,3025,2907,0.2,0.6,28,2350,69,94,24,43,54,35,37,24,81,87
1,3025,2907,0.2,0.6,29,2487,12,7,90,49,86,52,82,55,12,59
1,3025,2907,0.2,0.6,30,1535,73,15,7,54,49,8,57,98,40,2
1,3025,2907,0.2,0.6,31,2513,85,11,11,87,3,40,61,86,59,38
1,3025,2907,0.2,0.6,32,1751,23,99,49,29,48,62,6,30,32,84
1,3025,2907,0.2,0.6,33,1567,53,37,2,2,44,25,97,92,16,62
1,3025,2907,0.2,0.6,34,3109,16,50,76,18,93,24,5,94,87,10
1,3025,2907,0.2,0.6,35,3138,88,56,17,75,37,30,27,66,78,11
1,3025,2907,0.2,0.6,36,2864,8,69,32,39,82,1,95,47,41,93
1,3025,2907,0.2,0.6,37,1985,26,22,39,77,31,73,46,3,43,57
1,3025,2907,0.2,0.6,38,1624,42,56,9,69,59,27,92,41,94,81
1,3025,2907,0.2,0.6,39,2647,58,67,83,15,78,16,46,41,1,10
1,3025,2907,0.2,0.6,40,2221,63,63,69,78,33,91,52,47,93,40
1,3025,2907,0.2,0.6,41,1666,7,96,67,68,36,33,8,89,22,62
1,3025,2907,0.2,0.6,42,2317,2,74,28,37,3,11,11,28,93,49
1,3025,2907,0.2,0.6,43,1513,44,4,88,22,58,99,7,39,62,90
1,3025,2907,0.2,0.6,44,3040,38,42,23,41,10,2,54,80,53,34
1,3025,2907,0.2,0.6,45,1905,24,40,91,92,98,60,72,47,30,11
1,3025,2907,0.2,0.6,46,2609,76,30,71,67,6,90,57,57,34,81
1,3025,2907,0.2,0.6,47,1997,85,93,3,24,44,36,85,74,27,51
1,3025,2907,0.2,0.6,48,2361,61,36,26,87,62,62,22,38,30,21
1,3025,2907,0.2,0.6,49,2407,32,25,41,91,24,15,87,59,54,39
1,3025,2907,0.2,0.6,50,1776,90,87,96,31,94,3,65,5,77,27
1,3025,2907,0.2,1.0,1,1961,46,61,3,51,37,79,83,22,27,24
1,3025,2907,0.2,1.0,2,3636,52,87,1,24,16,93,87,29,92,47
1,3025,2907,0.2,1.0,3,3000,79,51,58,21,42,68,38,99,75,39
1,3025,2907,0.2,1.0,4,2612,45,25,85,57,47,75,38,25,94,66
1,3025,2907,0.2,1.0,5,1326,97,73,33,69,94,37,86,98,18,41
1,3025,2907,0.2,1.0,6,1326,10,93,71,51,14,44,67,55,41,46
1,3025,2907,0.2,1.0,7,1041,44,28,58,50,94,34,23,80,37,24
1,3025,2907,0.2,1.0,8,3390,24,90,56,51,34,39,19,82,58,23
1,3025,2907,0.2,1.0,9,2620,85,94,64,21,72,76,97,33,56,68
1,3025,2907,0.2,1.0,10,2930,75,59,43,19,36,62,78,68,20,50
1,3025,2907,0.2,1.0,11,932,66,64,48,63,88,74,66,47,2,93
1,3025,2907,0.2,1.0,12,3692,49,2,69,91,51,28,67,74,39,22
1,3025,2907,0.2,1.0,13,3292,95,16,96,11,41,78,7,26,91,64
1,3025,2907,0.2,1.0,14,1489,61,35,35,6,71,43,23,61,81,81
1,3025,2907,0.2,1.0,15,1401,19,53,82,31,94,98,67,95,33,94
1,3025,2907,0.2,1.0,16,1405,47,40,53,63,99,83,8,55,14,97
1,3025,2907,0.2,1.0,17,1757,84,81,64,36,11,91,77,11,88,54
1,3025,2907,0.2,1.0,18,2398,13,26,11,39,97,27,71,42,22,82
1,3025,2907,0.2,1.0,19,2128,11,85,61,57,44,6,85,72,36,11
1,3025,2907,0.2,1.0,20,1719,19,4,36,47,77,82,29,14,65,91
1,3025,2907,0.2,1.0,21,2651,98,4,53,56,69,60,49,8,79,23
1,3025,2907,0.2,1.0,22,1278,2,10,87,65,91,44,3,98,23,32
1,3025,2907,0.2,1.0,23,1721,85,63,88,59,38,43,94,90,66,26
1,3025,2907,0.2,1.0,24,1937,44,96,10,4,25,76,76,36,5,22
1,3025,2907,0.2,1.0,25,2198,7,55,32,10,87,99,95,75,15,12
1,3025,2907,0.2,1.0,26,3155,73,71,38,12,7,66,48,69,51,23
1,3025,2907,0.2,1.0,27,1453,19,66,25,62,66,11,4,26,2,34
1,3025,2907,0.2,1.0,28,2367,69,94,24,43,54,35,37,24,81,87
1,3025,2907,0.2,1.0,29,2594,12,7,90,49,86,52,82,55,12,59
1,3025,2907,0.2,1.0,30,1007,73,15,7,54,49,8,57,98,40,2
1,3025,2907,0.2,1.0,31,2638,85,11,11,87,3,40,61,86,59,38
1,3025,2907,0.2,1.0,32,1368,23,99,49,29,48,62,6,30,32,84
1,3025,2907,0.2,1.0,33,1061,53,37,2,2,44,25,97,92,16,62
1,3025,2907,0.2,1.0,34,3631,16,50,76,18,93,24,5,94,87,10
1,3025,2907,0.2,1.0,35,3679,88,56,17,75,37,30,27,66,78,11
1,3025,2907,0.2,1.0,36,3222,8,69,32,39,82,1,95,47,41,93
1,3025,2907,0.2,1.0,37,1758,26,22,39,77,31,73,46,3,43,57
1,3025,2907,0.2,1.0,38,1156,42,56,9,69,59,27,92,41,94,81
1,3025,2907,0.2,1.0,39,2861,58,67,83,15,78,16,46,41,1,10
1,3025,2907,0.2,1.0,40,2152,63,63,69,78,33,91,52,47,93,40
1,3025,2907,0.2,1.0,41,1227,7,96,67,68,36,33,8,89,22,62
1,3025,2907,0.2,1.0,42,2312,2,74,28,37,3,11,11,28,93,49
1,3025,2907,0.2,1.0,43,972,44,4,88,22,58,99,7,39,62,90
1,3025,2907,0.2,1.0,44,3515,38,42,23,41,10,2,54,80,53,34
1,3025,2907,0.2,1.0,45,1624,24,40,91,92,98,60,72,47,30,11
1,3025,2907,0.2,1.0,46,2798,76,30,71,67,6,90,57,57,34,81
1,3025,2907,0.2,1.0,47,1778,85,93,3,24,44,36,85,74,27,51
1,3025,2907,0.2,1.0,48,2384,61,36,26,87,62,62,22,38,30,21
1,3025,2907,0.2,1.0,49,2461,32,25,41,91,24,15,87,59,54,39
1,3025,2907,0.2,1.0,50,1409,90,87,96,31,94,3,65,5,77,27
1,3025,2907,0.4,0.2,1,1671,46,61,3,51,37,79,83,22,27,24
1,3025,2907,0.4,0.2,2,2006,52,87,1,24,16,93,87,29,92,47
1,3025,2907,0.4,0.2,3,1879,79,51,58,21,42,68,38,99,75,39
1,3025,2907,0.4,0.2,4,1802,45,25,85,57,47,75,38,25,94,66
1,3025,2907,0.4,0.2,5,1544,97,73,33,69,94,37,86,98,18,41
1,3025,2907,0.4,0.2,6,1544,10,93,71,51,14,44,67,55,41,46
1,3025,2907,0.4,0.2,7,1487,44,28,58,50,94,34,23,80,37,24
1,3025,2907,0.4,0.2,8,1957,24,90,56,51,34,39,19,82,58,23
1,3025,2907,0.4,0.2,9,1803,85,94,64,21,72,76,97,33,56,68
1,3025,2907,0.4,0.2,10,1865,75,59,43,19,36,62,78,68,20,50
1,3025,2907,0.4,0.2,11,1465,66,64,48,63,88,74,66,47,2,93
1,3025,2907,0.4,0.2,12,2017,49,2,69,91,51,28,67,74,39,22
1,3025,2907,0.4,0.2,13,1937,95,16,96,11,41,78,7,26,91,64
1,3025,2907,0.4,0.2,14,1577,61,35,35,6,71,43,23,61,81,81
1,3025,2907,0.4,0.2,15,1559,19,53,82,31,94,98,67,95,33,94
1,3025,2907,0.4,0.2,16,1560,47,40,53,63,99,83,8,55,14,97
1,3025,2907,0.4,0.2,17,1630,84,81,64,36,11,91,77,11,88,54
1,3025,2907,0.4,0.2,18,1759,13,26,11,39,97,27,71,42,22,82
1,3025,2907,0.4,0.2,19,1705,11,85,61,57,44,6,85,72,36,11
1,3025,2907,0.4,0.2,20,1623,19,4,36,47,77,82,29,14,65,91
1,3025,2907,0.4,0.2,21,1809,98,4,53,56,69,60,49,8,79,23
1,3025,2907,0.4,0.2,22,1535,2,10,87,65,91,44,3,98,23,32
1,3025,2907,0.4,0.2,23,1623,85,63,88,59,38,43,94,90,66,26
1,3025,2907,0.4,0.2,24,1667,44,96,10,4,25,76,76,36,5,22
1,3025,2907,0.4,0.2,25,1719,7,55,32,10,87,99,95,75,15,12
1,3025,2907,0.4,0.2,26,1910,73,71,38,12,7,66,48,69,51,23
1,3025,2907,0.4,0.2,27,1570,19,66,25,62,66,11,4,26,2,34
1,3025,2907,0.4,0.2,28,1752,69,94,24,43,54,35,37,24,81,87
1,3025,2907,0.4,0.2,29,1798,12,7,90,49,86,52,82,55,12,59
1,3025,2907,0.4,0.2,30,1481,73,15,7,54,49,8,57,98,40,2
1,3025,2907,0.4,0.2,31,1807,85,11,11,87,3,40,61,86,59,38
1,3025,2907,0.4,0.2,32,1553,23,99,49,29,48,62,6,30,32,84
1,3025,2907,0.4,0.2,33,1491,53,37,2,2,44,25,97,92,16,62
1,3025,2907,0.4,0.2,34,2005,16,50,76,18,93,24,5,94,87,10
1,3025,2907,0.4,0.2,35,2015,88,56,17,75,37,30,27,66,78,11
1,3025,2907,0.4,0.2,36,1924,8,69,32,39,82,1,95,47,41,93
1,3025,2907,0.4,0.2,37,1631,26,22,39,77,31,73,46,3,43,57
1,3025,2907,0.4,0.2,38,1510,42,56,9,69,59,27,92,41,94,81
1,3025,2907,0.4,0.2,39,1851,58,67,83,15,78,16,46,41,1,10
1,3025,2907,0.4,0.2,40,1709,63,63,69,78,33,91,52,47,93,40
1,3025,2907,0.4,0.2,41,1524,7,96,67,68,36,33,8,89,22,62
1,3025,2907,0.4,0.2,42,1741,2,74,28,37,3,11,11,28,93,49
1,3025,2907,0.4,0.2,43,1473,44,4,88,22,58,99,7,39,62,90
1,3025,2907,0.4,0.2,44,1982,38,42,23,41,10,2,54,80,53,34
1,3025,2907,0.4,0.2,45,1604,24,40,91,92,98,60,72,47,30,11
1,3025,2907,0.4,0.2,46,1839,76,30,71,67,6,90,57,57,34,81
1,3025,2907,0.4,0.2,47,1635,85,93,3,24,44,36,85,74,27,51
1,3025,2907,0.4,0.2,48,1756,61,36,26,87,62,62,22,38,30,21
1,3025,2907,0.4,0.2,49,1771,32,25,41,91,24,15,87,59,54,39
1,3025,2907,0.4,0.2,50,1561,90,87,96,31,94,3,65,5,77,27
1,3025,2907,0.4,0.6,1,1525,46,61,3,51,37,79,83,22,27,24
1,3025,2907,0.4,0.6,2,2530,52,87,1,24,16,93,87,29,92,47
1,3025,2907,0.4,0.6,3,2149,79,51,58,21,42,68,38,99,75,39
1,3025,2907,0.4,0.6,4,1916,45,25,85,57,47,75,38,25,94,66
1,3025,2907,0.4,0.6,5,1144,97,73,33,69,94,37,86,98,18,41
1,3025,2907,0.4,0.6,6,1144,10,93,71,51,14,44,67,55,41,46
1,3025,2907,0.4,0.6,7,973,44,28,58,50,94,34,23,80,37,24
1,3025,2907,0.4,0.6,8,2383,24,90,56,51,34,39,19,82,58,23
1,3025,2907,0.4,0.6,9,1921,85,94,64,21,72,76,97,33,56,68
1,3025,2907,0.4,0.6,10,2107,75,59,43,19,36,62,78,68,20,50
1,3025,2907,0.4,0.6,11,908,66,64,48,63,88,74,66,47,2,93
1,3025,2907,0.4,0.6,12,2564,49,2,69,91,51,28,67,74,39,22
1,3025,2907,0.4,0.6,13,2324,95,16,96,11,41,78,7,26,91,64
1,3025,2907,0.4,0.6,14,1242,61,35,35,6,71,43,23,61,81,81
1,3025,2907,0.4,0.6,15,1189,19,53,82,31,94,98,67,95,33,94
1,3025,2907,0.4,0.6,16,1192,47,40,53,63,99,83,8,55,14,97
1,3025,2907,0.4,0.6,17,1403,84,81,64,36,11,91,77,11,88,54
1,3025,2907,0.4,0.6,18,1787,13,26,11,39,97,27,71,42,22,82
1,3025,2907,0.4,0.6,19,1625,11,85,61,57,44,6,85,72,36,11
1,3025,2907,0.4,0.6,20,1380,19,4,36,47,77,82,29,14,65,91
1,3025,2907,0.4,0.6,21,1939,98,4,53,56,69,60,49,8,79,23
1,3025,2907,0.4,0.6,22,1115,2,10,87,65,91,44,3,98,23,32
1,3025,2907,0.4,0.6,23,1382,85,63,88,59,38,43,94,90,66,26
1,3025,2907,0.4,0.6,24,1511,44,96,10,4,25,76,76,36,5,22
1,3025,2907,0.4,0.6,25,1668,7,55,32,10,87,99,95,75,15,12
1,3025,2907,0.4,0.6,26,2242,73,71,38,12,7,66,48,69,51,23
1,3025,2907,0.4,0.6,27,1220,19,66,25,62,66,11,4,26,2,34
1,3025,2907,0.4,0.6,28,1769,69,94,24,43,54,35,37,24,81,87
1,3025,2907,0.4,0.6,29,1905,12,7,90,49,86,52,82,55,12,59
1,3025,2907,0.4,0.6,30,953,73,15,7,54,49,8,57,98,40,2
1,3025,2907,0.4,0.6,31,1932,85,11,11,87,3,40,61,86,59,38
1,3025,2907,0.4,0.6,32,1170,23,99,49,29,48,62,6,30,32,84
1,3025,2907,0.4,0.6,33,986,53,37,2,2,44,25,97,92,16,62
1,3025,2907,0.4,0.6,34,2527,16,50,76,18,93,24,5,94,87,10
1,3025,2907,0.4,0.6,35,2556,88,56,17,75,37,30,27,66,78,11
1,3025,2907,0.4,0.6,36,2282,8,69,32,39,82,1,95,47,41,93
1,3025,2907,0.4,0.6,37,1403,26,22,39,77,31,73,46,3,43,57
1,3025,2907,0.4,0.6,38,1042,42,56,9,69,59,27,92,41,94,81
1,3025,2907,0.4,0.6,39,2066,58,67,83,15,78,16,46,41,1,10
1,3025,2907,0.4,0.6,40,1640,63,63,69,78,33,91,52,47,93,40
1,3025,2907,0.4,0.6,41,1085,7,96,67,68,36,33,8,89,22,62
1,3025,2907,0.4,0.6,42,1736,2,74,28,37,3,11,11,28,93,49
1,3025,2907,0.4,0.6,43,932,44,4,88,22,58,99,7,39,62,90
1,3025,2907,0.4,0.6,44,2458,38,42,23,41,10,2,54,80,53,34
1,3025,2907,0.4,0.6,45,1323,24,40,91,92,98,60,72,47,30,11
1,3025,2907,0.4,0.6,46,2028,76,30,71,67,6,90,57,57,34,81
1,3025,2907,0.4,0.6,47,1416,85,93,3,24,44,36,85,74,27,51
1,3025,2907,0.4,0.6,48,1779,61,36,26,87,62,62,22,38,30,21
1,3025,2907,0.4,0.6,49,1826,32,25,41,91,24,15,87,59,54,39
1,3025,2907,0.4,0.6,50,1195,90,87,96,31,94,3,65,5,77,27
1,3025,2907,0.4,1.0,1,1379,46,61,3,51,37,79,83,22,27,24
1,3025,2907,0.4,1.0,2,3054,52,87,1,24,16,93,87,29,92,47
1,3025,2907,0.4,1.0,3,2419,79,51,58,21,42,68,38,99,75,39
1,3025,2907,0.4,1.0,4,2031,45,25,85,57,47,75,38,25,94,66
1,3025,2907,0.4,1.0,5,744,97,73,33,69,94,37,86,98,18,41
1,3025,2907,0.4,1.0,6,744,10,93,71,51,14,44,67,55,41,46
1,3025,2907,0.4,1.0,7,460,44,28,58,50,94,34,23,80,37,24
1,3025,2907,0.4,1.0,8,2809,24,90,56,51,34,39,19,82,58,23
1,3025,2907,0.4,1.0,9,2038,85,94,64,21,72,76,97,33,56,68
1,3025,2907,0.4,1.0,10,2349,75,59,43,19,36,62,78,68,20,50
1,3025,2907,0.4,1.0,11,351,66,64,48,63,88,74,66,47,2,93
1,3025,2907,0.4,1.0,12,3110,49,2,69,91,51,28,67,74,39,22
1,3025,2907,0.4,1.0,13,2711,95,16,96,11,41,78,7,26,91,64
1,3025,2907,0.4,1.0,14,908,61,35,35,6,71,43,23,61,81,81
1,3025,2907,0.4,1.0,15,819,19,53,82,31,94,98,67,95,33,94
1,3025,2907,0.4,1.0,16,824,47,40,53,63,99,83,8,55,14,97
1,3025,2907,0.4,1.0,17,1175,84,81,64,36,11,91,77,11,88,54
1,3025,2907,0.4,1.0,18,1816,13,26,11,39,97,27,71,42,22,82
1,3025,2907,0.4,1.0,19,1546,11,85,61,57,44,6,85,72,36,11
1,3025,2907,0.4,1.0,20,1137,19,4,36,47,77,82,29,14,65,91
1,3025,2907,0.4,1.0,21,2069,98,4,53,56,69,60,49,8,79,23
1,3025,2907,0.4,1.0,22,696,2,10,87,65,91,44,3,98,23,32
1,3025,2907,0.4,1.0,23,1140,85,63,88,59,38,43,94,90,66,26
1,3025,2907,0.4,1.0,24,1356,44,96,10,4,25,76,76,36,5,22
1,3025,2907,0.4,1.0,25,1616,7,55,32,10,87,99,95,75,15,12
1,3025,2907,0.4,1.0,26,2573,73,71,38,12,7,66,48,69,51,23
1,3025,2907,0.4,1.0,27,871,19,66,25,62,66,11,4,26,2,34
1,3025,2907,0.4,1.0,28,1786,69,94,24,43,54,35,37,24,81,87
1,3025,2907,0.4,1.0,29,2013,12,7,90,49,86,52,82,55,12,59
1,3025,2907,0.4,1.0,30,426,73,15,7,54,49,8,57,98,40,2
1,3025,2907,0.4,1.0,31,2057,85,11,11,87,3,40,61,86,59,38
1,3025,2907,0.4,1.0,32,786,23,99,49,29,48,62,6,30,32,84
1,3025,2907,0.4,1.0,33,480,53,37,2,2,44,25,97,92,16,62
1,3025,2907,0.4,1.0,34,3049,16,50,76,18,93,24,5,94,87,10
1,3025,2907,0.4,1.0,35,3098,88,56,17,75,37,30,27,66,78,11
1,3025,2907,0.4,1.0,36,2641,8,69,32,39,82,1,95,47,41,93
1,3025,2907,0.4,1.0,37,1176,26,22,39,77,31,73,46,3,43,57
1,3025,2907,0.4,1.0,38,575,42,56,9,69,59,27,92,41,94,81
1,3025,2907,0.4,1.0,39,2280,58,67,83,15,78,16,46,41,1,10
1,3025,2907,0.4,1.0,40,1570,63,63,69,78,33,91,52,47,93,40
1,3025,2907,0.4,1.0,41,645,7,96,67,68,36,33,8,89,22,62
1,3025,2907,0.4,1.0,42,1730,2,74,28,37,3,11,11,28,93,49
1,3025,2907,0.4,1.0,43,391,44,4,88,22,58,99,7,39,62,90
1,3025,2907,0.4,1.0,44,2934,38,42,23,41,10,2,54,80,53,34
1,3025,2907,0.4,1.0,45,1043,24,40,91,92,98,60,72,47,30,11
1,3025,2907,0.4,1.0,46,2217,76,30,71,67,6,90,57,57,34,81
1,3025,2907,0.4,1.0,47,1197,85,93,3,24,44,36,85,74,27,51
1,3025,2907,0.4,1.0,48,1803,61,36,26,87,62,62,22,38,30,21
1,3025,2907,0.4,1.0,49,1880,32,25,41,91,24,15,87,59,54,39
1,3025,2907,0.4,1.0,50,828,90,87,96,31,94,3,65,5,77,27
1,3025,2907,0.6,0.2,1,1090,46,61,3,51,37,79,83,22,27,24
1,3025,2907,0.6,0.2,2,1425,52,87,1,24,16,93,87,29,92,47
1,3025,2907,0.6,0.2,3,1298,79,51,58,21,42,68,38,99,75,39
1,3025,2907,0.6,0.2,4,1220,45,25,85,57,47,75,38,25,94,66
1,3025,2907,0.6,0.2,5,963,97,73,33,69,94,37,86,98,18,41
1,3025,2907,0.6,0.2,6,963,10,93,71,51,14,44,67,55,41,46
1,3025,2907,0.6,0.2,7,906,44,28,58,50,94,34,23,80,37,24
1,3025,2907,0.6,0.2,8,1376,24,90,56,51,34,39,19,82,58,23
1,3025,2907,0.6,0.2,9,1222,85,94,64,21,72,76,97,33,56,68
1,3025,2907,0.6,0.2,10,1284,75,59,43,19,36,62,78,68,20,50
1,3025,2907,0.6,0.2,11,884,66,64,48,63,88,74,66,47,2,93
1,3025,2907,0.6,0.2,12,1436,49,2,69,91,51,28,67,74,39,22
1,3025,2907,0.6,0.2,13,1356,95,16,96,11,41,78,7,26,91,64
1,3025,2907,0.6,0.2,14,996,61,35,35,6,71,43,23,61,81,81
1,3025,2907,0.6,0.2,15,978,19,53,82,31,94,98,67,95,33,94
1,3025,2907,0.6,0.2,16,979,47,40,53,63,99,83,8,55,14,97
1,3025,2907,0.6,0.2,17,1049,84,81,64,36,11,91,77,11,88,54
1,3025,2907,0.6,0.2,18,1177,13,26,11,39,97,27,71,42,22,82
1,3025,2907,0.6,0.2,19,1123,11,85,61,57,44,6,85,72,36,11
1,3025,2907,0.6,0.2,20,1041,19,4,36,47,77,82,29,14,65,91
1,3025,2907,0.6,0.2,21,1228,98,4,53,56,69,60,49,8,79,23
1,3025,2907,0.6,0.2,22,953,2,10,87,65,91,44,3,98,23,32
1,3025,2907,0.6,0.2,23,1042,85,63,88,59,38,43,94,90,66,26
1,3025,2907,0.6,0.2,24,1085,44,96,10,4,25,76,76,36,5,22
1,3025,2907,0.6,0.2,25,1137,7,55,32,10,87,99,95,75,15,12
1,3025,2907,0.6,0.2,26,1329,73,71,38,12,7,66,48,69,51,23
1,3025,2907,0.6,0.2,27,988,19,66,25,62,66,11,4,26,2,34
1,3025,2907,0.6,0.2,28,1171,69,94,24,43,54,35,37,24,81,87
1,3025,2907,0.6,0.2,29,1217,12,7,90,49,86,52,82,55,12,59
1,3025,2907,0.6,0.2,30,899,73,15,7,54,49,8,57,98,40,2
1,3025,2907,0.6,0.2,31,1225,85,11,11,87,3,40,61,86,59,38
1,3025,2907,0.6,0.2,32,971,23,99,49,29,48,62,6,30,32,84
1,3025,2907,0.6,0.2,33,910,53,37,2,2,44,25,97,92,16,62
1,3025,2907,0.6,0.2,34,1424,16,50,76,18,93,24,5,94,87,10
1,3025,2907,0.6,0.2,35,1434,88,56,17,75,37,30,27,66,78,11
1,3025,2907,0.6,0.2,36,1342,8,69,32,39,82,1,95,47,41,93
1,3025,2907,0.6,0.2,37,1049,26,22,39,77,31,73,46,3,43,57
1,3025,2907,0.6,0.2,38,929,42,56,9,69,59,27,92,41,94,81
