instance,ub,lb,T,R,job,due_date,p_machine1,p_machine2,p_machine3,p_machine4,p_machine5
1,1278,1232,0.2,1.0,6,562,36,70,45,91,35
1,1278,1232,0.2,1.0,7,441,53,99,60,13,53
1,1278,1232,0.2,1.0,8,1437,38,60,23,59,41
1,1278,1232,0.2,1.0,9,1110,27,5,57,49,69
1,1278,1232,0.2,1.0,10,1242,87,56,64,85,13
1,1278,1232,0.2,1.0,11,395,76,3,7,85,86
1,1278,1232,0.2,1.0,12,1565,91,61,1,9,72
1,1278,1232,0.2,1.0,13,1395,14,73,63,39,8
1,1278,1232,0.2,1.0,14,631,29,75,41,41,49
1,1278,1232,0.2,1.0,15,594,12,47,63,56,47
1,1278,1232,0.2,1.0,16,596,77,14,47,40,87
1,1278,1232,0.2,1.0,17,744,32,21,26,54,58
1,1278,1232,0.2,1.0,18,1016,87,86,75,77,18
1,1278,1232,0.2,1.0,19,902,68,5,77,51,68
1,1278,1232,0.2,1.0,20,728,94,77,40,31,28
1,1278,1232,0.4,0.2,1,708,54,79,16,66,58
1,1278,1232,0.4,0.2,2,850,83,3,89,58,56
1,1278,1232,0.4,0.2,3,796,15,11,49,31,20
1,1278,1232,0.4,0.2,4,764,71,99,15,68,85
1,1278,1232,0.4,0.2,5,654,77,56,89,78,53
1,1278,1232,0.4,0.2,6,654,36,70,45,91,35
1,1278,1232,0.4,0.2,7,630,53,99,60,13,53
1,1278,1232,0.4,0.2,8,829,38,60,23,59,41
1,1278,1232,0.4,0.2,9,764,27,5,57,49,69
1,1278,1232,0.4,0.2,10,790,87,56,64,85,13
1,1278,1232,0.4,0.2,11,621,76,3,7,85,86
1,1278,1232,0.4,0.2,12,855,91,61,1,9,72
1,1278,1232,0.4,0.2,13,821,14,73,63,39,8
1,1278,1232,0.4,0.2,14,668,29,75,41,41,49
1,1278,1232,0.4,0.2,15,661,12,47,63,56,47
1,1278,1232,0.4,0.2,16,661,77,14,47,40,87
1,1278,1232,0.4,0.2,17,691,32,21,26,54,58
1,1278,1232,0.4,0.2,18,745,87,86,75,77,18
1,1278,1232,0.4,0.2,19,722,68,5,77,51,68
1,1278,1232,0.4,0.2,20,688,94,77,40,31,28
1,1278,1232,0.4,0.6,1,646,54,79,16,66,58
1,1278,1232,0.4,0.6,2,1072,83,3,89,58,56
1,1278,1232,0.4,0.6,3,911,15,11,49,31,20
1,1278,1232,0.4,0.6,4,812,71,99,15,68,85
1,1278,1232,0.4,0.6,5,485,77,56,89,78,53
1,1278,1232,0.4,0.6,6,485,36,70,45,91,35
1,1278,1232,0.4,0.6,7,413,53,99,60,13,53
1,1278,1232,0.4,0.6,8,1010,38,60,23,59,41
1,1278,1232,0.4,0.6,9,814,27,5,57,49,69
1,1278,1232,0.4,0.6,10,893,87,56,64,85,13
1,1278,1232,0.4,0.6,11,385,76,3,7,85,86
1,1278,1232,0.4,0.6,12,1087,91,61,1,9,72
1,1278,1232,0.4,0.6,13,985,14,73,63,39,8
1,1278,1232,0.4,0.6,14,527,29,75,41,41,49
1,1278,1232,0.4,0.6,15,504,12,47,63,56,47
1,1278,1232,0.4,0.6,16,505,77,14,47,40,87
1,1278,1232,0.4,0.6,17,594,32,21,26,54,58
1,1278,1232,0.4,0.6,18,757,87,86,75,77,18
1,1278,1232,0.4,0.6,19,689,68,5,77,51,68
1,1278,1232,0.4,0.6,20,585,94,77,40,31,28
1,1278,1232,0.4,1.0,1,585,54,79,16,66,58
1,1278,1232,0.4,1.0,2,1294,83,3,89,58,56
1,1278,1232,0.4,1.0,3,1025,15,11,49,31,20
1,1278,1232,0.4,1.0,4,861,71,99,15,68,85
1,1278,1232,0.4,1.0,5,315,77,56,89,78,53
1,1278,1232,0.4,1.0,6,315,36,70,45,91,35
1,1278,1232,0.4,1.0,7,195,53,99,60,13,53
1,1278,1232,0.4,1.0,8,1190,38,60,23,59,41
1,1278,1232,0.4,1.0,9,864,27,5,57,49,69
1,1278,1232,0.4,1.0,10,996,87,56,64,85,13
1,1278,1232,0.4,1.0,11,149,76,3,7,85,86
1,1278,1232,0.4,1.0,12,1318,91,61,1,9,72
1,1278,1232,0.4,1.0,13,1149,14,73,63,39,8
1,1278,1232,0.4,1.0,14,385,29,75,41,41,49
1,1278,1232,0.4,1.0,15,347,12,47,63,56,47
1,1278,1232,0.4,1.0,16,349,77,14,47,40,87
1,1278,1232,0.4,1.0,17,498,32,21,26,54,58
1,1278,1232,0.4,1.0,18,770,87,86,75,77,18
1,1278,1232,0.4,1.0,19,655,68,5,77,51,68
1,1278,1232,0.4,1.0,20,482,94,77,40,31,28
1,1278,1232,0.6,0.2,1,462,54,79,16,66,58
1,1278,1232,0.6,0.2,2,604,83,3,89,58,56
1,1278,1232,0.6,0.2,3,550,15,11,49,31,20
1,1278,1232,0.6,0.2,4,517,71,99,15,68,85
1,1278,1232,0.6,0.2,5,408,77,56,89,78,53
1,1278,1232,0.6,0.2,6,408,36,70,45,91,35
1,1278,1232,0.6,0.2,7,384,53,99,60,13,53
1,1278,1232,0.6,0.2,8,583,38,60,23,59,41
1,1278,1232,0.6,0.2,9,518,27,5,57,49,69
1,1278,1232,0.6,0.2,10,544,87,56,64,85,13
1,1278,1232,0.6,0.2,11,375,76,3,7,85,86
1,1278,1232,0.6,0.2,12,609,91,61,1,9,72
1,1278,1232,0.6,0.2,13,575,14,73,63,39,8
1,1278,1232,0.6,0.2,14,422,29,75,41,41,49
1,1278,1232,0.6,0.2,15,414,12,47,63,56,47
1,1278,1232,0.6,0.2,16,415,77,14,47,40,87
1,1278,1232,0.6,0.2,17,445,32,21,26,54,58
1,1278,1232,0.6,0.2,18,499,87,86,75,77,18
1,1278,1232,0.6,0.2,19,476,68,5,77,51,68
1,1278,1232,0.6,0.2,20,441,94,77,40,31,28
1,1278,1232,0.6,0.6,1,400,54,79,16,66,58
1,1278,1232,0.6,0.6,2,826,83,3,89,58,56
1,1278,1232,0.6,0.6,3,664,15,11,49,31,20
1,1278,1232,0.6,0.6,4,566,71,99,15,68,85
1,1278,1232,0.6,0.6,5,239,77,56,89,78,53
1,1278,1232,0.6,0.6,6,239,36,70,45,91,35
1,1278,1232,0.6,0.6,7,166,53,99,60,13,53
1,1278,1232,0.6,0.6,8,763,38,60,23,59,41
1,1278,1232,0.6,0.6,9,568,27,5,57,49,69
1,1278,1232,0.6,0.6,10,647,87,56,64,85,13
1,1278,1232,0.6,0.6,11,138,76,3,7,85,86
1,1278,1232,0.6,0.6,12,840,91,61,1,9,72
1,1278,1232,0.6,0.6,13,739,14,73,63,39,8
1,1278,1232,0.6,0.6,14,280,29,75,41,41,49
1,1278,1232,0.6,0.6,15,258,12,47,63,56,47
1,1278,1232,0.6,0.6,16,259,77,14,47,40,87
1,1278,1232,0.6,0.6,17,348,32,21,26,54,58
1,1278,1232,0.6,0.6,18,511,87,86,75,77,18
1,1278,1232,0.6,0.6,19,442,68,5,77,51,68
1,1278,1232,0.6,0.6,20,338,94,77,40,31,28
1,1278,1232,0.6,1.0,1,416,54,79,16,66,58
1,1278,1232,0.6,1.0,2,1054,83,3,89,58,56
1,1278,1232,0.6,1.0,3,812,15,11,49,31,20
1,1278,1232,0.6,1.0,4,664,71,99,15,68,85
1,1278,1232,0.6,1.0,5,174,77,56,89,78,53
1,1278,1232,0.6,1.0,6,174,36,70,45,91,35
1,1278,1232,0.6,1.0,7,65,53,99,60,13,53
1,1278,1232,0.6,1.0,8,961,38,60,23,59,41
1,1278,1232,0.6,1.0,9,667,27,5,57,49,69
1,1278,1232,0.6,1.0,10,785,87,56,64,85,13
1,1278,1232,0.6,1.0,11,24,76,3,7,85,86
1,1278,1232,0.6,1.0,12,1075,91,61,1,9,72
1,1278,1232,0.6,1.0,13,923,14,73,63,39,8
1,1278,1232,0.6,1.0,14,236,29,75,41,41,49
1,1278,1232,0.6,1.0,15,202,12,47,63,56,47
1,1278,1232,0.6,1.0,16,204,77,14,47,40,87
1,1278,1232,0.6,1.0,17,338,32,21,26,54,58
1,1278,1232,0.6,1.0,18,582,87,86,75,77,18
1,1278,1232,0.6,1.0,19,480,68,5,77,51,68
1,1278,1232,0.6,1.0,20,324,94,77,40,31,28
1,1278,1232,0.8,0.2,1,215,54,79,16,66,58
1,1278,1232,0.8,0.2,2,357,83,3,89,58,56
1,1278,1232,0.8,0.2,3,304,15,11,49,31,20
1,1278,1232,0.8,0.2,4,271,71,99,15,68,85
1,1278,1232,0.8,0.2,5,162,77,56,89,78,53
1,1278,1232,0.8,0.2,6,162,36,70,45,91,35
1,1278,1232,0.8,0.2,7,138,53,99,60,13,53
1,1278,1232,0.8,0.2,8,337,38,60,23,59,41
1,1278,1232,0.8,0.2,9,271,27,5,57,49,69
1,1278,1232,0.8,0.2,10,298,87,56,64,85,13
1,1278,1232,0.8,0.2,11,128,76,3,7,85,86
1,1278,1232,0.8,0.2,12,362,91,61,1,9,72
1,1278,1232,0.8,0.2,13,328,14,73,63,39,8
1,1278,1232,0.8,0.2,14,176,29,75,41,41,49
1,1278,1232,0.8,0.2,15,168,12,47,63,56,47
1,1278,1232,0.8,0.2,16,168,77,14,47,40,87
1,1278,1232,0.8,0.2,17,198,32,21,26,54,58
1,1278,1232,0.8,0.2,18,252,87,86,75,77,18
1,1278,1232,0.8,0.2,19,230,68,5,77,51,68
1,1278,1232,0.8,0.2,20,195,94,77,40,31,28
1,1278,1232,0.8,0.6,1,231,54,79,16,66,58
1,1278,1232,0.8,0.6,2,586,83,3,89,58,56
1,1278,1232,0.8,0.6,3,451,15,11,49,31,20
1,1278,1232,0.8,0.6,4,369,71,99,15,68,85
1,1278,1232,0.8,0.6,5,97,77,56,89,78,53
1,1278,1232,0.8,0.6,6,97,36,70,45,91,35
1,1278,1232,0.8,0.6,7,37,53,99,60,13,53
1,1278,1232,0.8,0.6,8,534,38,60,23,59,41
1,1278,1232,0.8,0.6,9,371,27,5,57,49,69
1,1278,1232,0.8,0.6,10,436,87,56,64,85,13
1,1278,1232,0.8,0.6,11,14,76,3,7,85,86
1,1278,1232,0.8,0.6,12,597,91,61,1,9,72
1,1278,1232,0.8,0.6,13,513,14,73,63,39,8
1,1278,1232,0.8,0.6,14,132,29,75,41,41,49
1,1278,1232,0.8,0.6,15,113,12,47,63,56,47
1,1278,1232,0.8,0.6,16,114,77,14,47,40,87
1,1278,1232,0.8,0.6,17,188,32,21,26,54,58
1,1278,1232,0.8,0.6,18,324,87,86,75,77,18
1,1278,1232,0.8,0.6,19,267,68,5,77,51,68
1,1278,1232,0.8,0.6,20,180,94,77,40,31,28
1,1278,1232,0.8,1.0,1,324,54,79,16,66,58
1,1278,1232,0.8,1.0,2,820,83,3,89,58,56
1,1278,1232,0.8,1.0,3,632,15,11,49,31,20
1,1278,1232,0.8,1.0,4,517,71,99,15,68,85
1,1278,1232,0.8,1.0,5,135,77,56,89,78,53
1,1278,1232,0.8,1.0,6,135,36,70,45,91,35
1,1278,1232,0.8,1.0,7,51,53,99,60,13,53
1,1278,1232,0.8,1.0,8,747,38,60,23,59,41
1,1278,1232,0.8,1.0,9,519,27,5,57,49,69
1,1278,1232,0.8,1.0,10,611,87,56,64,85,13
1,1278,1232,0.8,1.0,11,19,76,3,7,85,86
1,1278,1232,0.8,1.0,12,836,91,61,1,9,72
1,1278,1232,0.8,1.0,13,718,14,73,63,39,8
1,1278,1232,0.8,1.0,14,184,29,75,41,41,49
1,1278,1232,0.8,1.0,15,158,12,47,63,56,47
1,1278,1232,0.8,1.0,16,159,77,14,47,40,87
1,1278,1232,0.8,1.0,17,263,32,21,26,54,58
1,1278,1232,0.8,1.0,18,453,87,86,75,77,18
1,1278,1232,0.8,1.0,19,373,68,5,77,51,68
1,1278,1232,0.8,1.0,20,252,94,77,40,31,28
2,1359,1290,0.2,0.2,1,1000,26,59,78,88,69
2,1359,1290,0.2,0.2,2,1148,38,62,90,54,30
2,1359,1290,0.2,0.2,3,1092,27,44,64,47,61
2,1359,1290,0.2,0.2,4,1057,88,10,49,83,35
2,1359,1290,0.2,0.2,5,943,95,23,47,84,53
2,1359,1290,0.2,0.2,6,943,55,64,20,9,98
2,1359,1290,0.2,0.2,7,918,54,47,61,30,94
2,1359,1290,0.2,0.2,8,1126,63,68,93,11,33
2,1359,1290,0.2,0.2,9,1058,23,54,36,92,77
2,1359,1290,0.2,0.2,10,1086,45,9,47,63,31
2,1359,1290,0.2,0.2,11,908,86,30,70,62,54
2,1359,1290,0.2,0.2,12,1153,43,31,54,75,71
2,1359,1290,0.2,0.2,13,1118,43,92,87,48,78
2,1359,1290,0.2,0.2,14,958,40,7,13,23,9
2,1359,1290,0.2,0.2,15,950,37,14,40,85,79
2,1359,1290,0.2,0.2,16,950,54,95,34,23,51
2,1359,1290,0.2,0.2,17,981,35,76,55,4,76
2,1359,1290,0.2,0.2,18,1038,59,82,13,31,56
2,1359,1290,0.2,0.2,19,1014,43,91,11,13,80
2,1359,1290,0.2,0.2,20,978,50,37,5,98,72
2,1359,1290,0.2,0.6,1,935,26,59,78,88,69
2,1359,1290,0.2,0.6,2,1381,38,62,90,54,30
2,1359,1290,0.2,0.6,3,1212,27,44,64,47,61
2,1359,1290,0.2,0.6,4,1108,88,10,49,83,35
2,1359,1290,0.2,0.6,5,766,95,23,47,84,53
2,1359,1290,0.2,0.6,6,766,55,64,20,9,98
2,1359,1290,0.2,0.6,7,690,54,47,61,30,94
2,1359,1290,0.2,0.6,8,1315,63,68,93,11,33
2,1359,1290,0.2,0.6,9,1110,23,54,36,92,77
2,1359,1290,0.2,0.6,10,1193,45,9,47,63,31
2,1359,1290,0.2,0.6,11,661,86,30,70,62,54
2,1359,1290,0.2,0.6,12,1396,43,31,54,75,71
2,1359,1290,0.2,0.6,13,1289,43,92,87,48,78
2,1359,1290,0.2,0.6,14,809,40,7,13,23,9
2,1359,1290,0.2,0.6,15,786,37,14,40,85,79
2,1359,1290,0.2,0.6,16,787,54,95,34,23,51
2,1359,1290,0.2,0.6,17,880,35,76,55,4,76
2,1359,1290,0.2,0.6,18,1051,59,82,13,31,56
2,1359,1290,0.2,0.6,19,979,43,91,11,13,80
2,1359,1290,0.2,0.6,20,870,50,37,5,98,72
2,1359,1290,0.2,1.0,1,870,26,59,78,88,69
2,1359,1290,0.2,1.0,2,1613,38,62,90,54,30
2,1359,1290,0.2,1.0,3,1331,27,44,64,47,61
2,1359,1290,0.2,1.0,4,1159,88,10,49,83,35
2,1359,1290,0.2,1.0,5,588,95,23,47,84,53
2,1359,1290,0.2,1.0,6,588,55,64,20,9,98
2,1359,1290,0.2,1.0,7,462,54,47,61,30,94
2,1359,1290,0.2,1.0,8,1504,63,68,93,11,33
2,1359,1290,0.2,1.0,9,1162,23,54,36,92,77
2,1359,1290,0.2,1.0,10,1300,45,9,47,63,31
2,1359,1290,0.2,1.0,11,414,86,30,70,62,54
2,1359,1290,0.2,1.0,12,1638,43,31,54,75,71
2,1359,1290,0.2,1.0,13,1461,43,92,87,48,78
2,1359,1290,0.2,1.0,14,661,40,7,13,23,9
2,1359,1290,0.2,1.0,15,622,37,14,40,85,79
2,1359,1290,0.2,1.0,16,624,54,95,34,23,51
2,1359,1290,0.2,1.0,17,779,35,76,55,4,76
2,1359,1290,0.2,1.0,18,1064,59,82,13,31,56
2,1359,1290,0.2,1.0,19,944,43,91,11,13,80
2,1359,1290,0.2,1.0,20,763,50,37,5,98,72
2,1359,1290,0.4,0.2,1,742,26,59,78,88,69
2,1359,1290,0.4,0.2,2,890,38,62,90,54,30
2,1359,1290,0.4,0.2,3,834,27,44,64,47,61
2,1359,1290,0.4,0.2,4,799,88,10,49,83,35
2,1359,1290,0.4,0.2,5,685,95,23,47,84,53
2,1359,1290,0.4,0.2,6,685,55,64,20,9,98
2,1359,1290,0.4,0.2,7,660,54,47,61,30,94
2,1359,1290,0.4,0.2,8,868,63,68,93,11,33
2,1359,1290,0.4,0.2,9,800,23,54,36,92,77
2,1359,1290,0.4,0.2,10,828,45,9,47,63,31
2,1359,1290,0.4,0.2,11,650,86,30,70,62,54
2,1359,1290,0.4,0.2,12,895,43,31,54,75,71
2,1359,1290,0.4,0.2,13,860,43,92,87,48,78
2,1359,1290,0.4,0.2,14,700,40,7,13,23,9
2,1359,1290,0.4,0.2,15,692,37,14,40,85,79
2,1359,1290,0.4,0.2,16,692,54,95,34,23,51
2,1359,1290,0.4,0.2,17,723,35,76,55,4,76
2,1359,1290,0.4,0.2,18,780,59,82,13,31,56
2,1359,1290,0.4,0.2,19,756,43,91,11,13,80
2,1359,1290,0.4,0.2,20,720,50,37,5,98,72
2,1359,1290,0.4,0.6,1,677,26,59,78,88,69
2,1359,1290,0.4,0.6,2,1123,38,62,90,54,30
2,1359,1290,0.4,0.6,3,954,27,44,64,47,61
2,1359,1290,0.4,0.6,4,850,88,10,49,83,35
2,1359,1290,0.4,0.6,5,508,95,23,47,84,53
2,1359,1290,0.4,0.6,6,508,55,64,20,9,98
2,1359,1290,0.4,0.6,7,432,54,47,61,30,94
2,1359,1290,0.4,0.6,8,1057,63,68,93,11,33
2,1359,1290,0.4,0.6,9,852,23,54,36,92,77
2,1359,1290,0.4,0.6,10,935,45,9,47,63,31
2,1359,1290,0.4,0.6,11,403,86,30,70,62,54
2,1359,1290,0.4,0.6,12,1138,43,31,54,75,71
2,1359,1290,0.4,0.6,13,1031,43,92,87,48,78
2,1359,1290,0.4,0.6,14,551,40,7,13,23,9
2,1359,1290,0.4,0.6,15,528,37,14,40,85,79
2,1359,1290,0.4,0.6,16,529,54,95,34,23,51
2,1359,1290,0.4,0.6,17,622,35,76,55,4,76
2,1359,1290,0.4,0.6,18,793,59,82,13,31,56
2,1359,1290,0.4,0.6,19,721,43,91,11,13,80
2,1359,1290,0.4,0.6,20,612,50,37,5,98,72
2,1359,1290,0.4,1.0,1,612,26,59,78,88,69
2,1359,1290,0.4,1.0,2,1355,38,62,90,54,30
2,1359,1290,0.4,1.0,3,1073,27,44,64,47,61
2,1359,1290,0.4,1.0,4,901,88,10,49,83,35
2,1359,1290,0.4,1.0,5,330,95,23,47,84,53
2,1359,1290,0.4,1.0,6,330,55,64,20,9,98
2,1359,1290,0.4,1.0,7,204,54,47,61,30,94
2,1359,1290,0.4,1.0,8,1246,63,68,93,11,33
2,1359,1290,0.4,1.0,9,904,23,54,36,92,77
2,1359,1290,0.4,1.0,10,1042,45,9,47,63,31
2,1359,1290,0.4,1.0,11,156,86,30,70,62,54
2,1359,1290,0.4,1.0,12,1380,43,31,54,75,71
2,1359,1290,0.4,1.0,13,1203,43,92,87,48,78
2,1359,1290,0.4,1.0,14,403,40,7,13,23,9
2,1359,1290,0.4,1.0,15,364,37,14,40,85,79
2,1359,1290,0.4,1.0,16,366,54,95,34,23,51
2,1359,1290,0.4,1.0,17,521,35,76,55,4,76
2,1359,1290,0.4,1.0,18,806,59,82,13,31,56
2,1359,1290,0.4,1.0,19,686,43,91,11,13,80
2,1359,1290,0.4,1.0,20,505,50,37,5,98,72
2,1359,1290,0.6,0.2,1,484,26,59,78,88,69
2,1359,1290,0.6,0.2,2,632,38,62,90,54,30
2,1359,1290,0.6,0.2,3,576,27,44,64,47,61
2,1359,1290,0.6,0.2,4,541,88,10,49,83,35
2,1359,1290,0.6,0.2,5,427,95,23,47,84,53
2,1359,1290,0.6,0.2,6,427,55,64,20,9,98
2,1359,1290,0.6,0.2,7,402,54,47,61,30,94
2,1359,1290,0.6,0.2,8,610,63,68,93,11,33
2,1359,1290,0.6,0.2,9,542,23,54,36,92,77
2,1359,1290,0.6,0.2,10,570,45,9,47,63,31
2,1359,1290,0.6,0.2,11,392,86,30,70,62,54
2,1359,1290,0.6,0.2,12,637,43,31,54,75,71
2,1359,1290,0.6,0.2,13,602,43,92,87,48,78
2,1359,1290,0.6,0.2,14,442,40,7,13,23,9
2,1359,1290,0.6,0.2,15,434,37,14,40,85,79
2,1359,1290,0.6,0.2,16,434,54,95,34,23,51
2,1359,1290,0.6,0.2,17,465,35,76,55,4,76
2,1359,1290,0.6,0.2,18,522,59,82,13,31,56
2,1359,1290,0.6,0.2,19,498,43,91,11,13,80
2,1359,1290,0.6,0.2,20,462,50,37,5,98,72
2,1359,1290,0.6,0.6,1,419,26,59,78,88,69
2,1359,1290,0.6,0.6,2,865,38,62,90,54,30
2,1359,1290,0.6,0.6,3,696,27,44,64,47,61
2,1359,1290,0.6,0.6,4,592,88,10,49,83,35
2,1359,1290,0.6,0.6,5,250,95,23,47,84,53
2,1359,1290,0.6,0.6,6,250,55,64,20,9,98
2,1359,1290,0.6,0.6,7,174,54,47,61,30,94
2,1359,1290,0.6,0.6,8,799,63,68,93,11,33
2,1359,1290,0.6,0.6,9,594,23,54,36,92,77
2,1359,1290,0.6,0.6,10,677,45,9,47,63,31
2,1359,1290,0.6,0.6,11,145,86,30,70,62,54
2,1359,1290,0.6,0.6,12,880,43,31,54,75,71
2,1359,1290,0.6,0.6,13,773,43,92,87,48,78
2,1359,1290,0.6,0.6,14,293,40,7,13,23,9
2,1359,1290,0.6,0.6,15,270,37,14,40,85,79
2,1359,1290,0.6,0.6,16,271,54,95,34,23,51
2,1359,1290,0.6,0.6,17,364,35,76,55,4,76
2,1359,1290,0.6,0.6,18,535,59,82,13,31,56
2,1359,1290,0.6,0.6,19,463,43,91,11,13,80
2,1359,1290,0.6,0.6,20,354,50,37,5,98,72
2,1359,1290,0.6,1.0,1,435,26,59,78,88,69
2,1359,1290,0.6,1.0,2,1104,38,62,90,54,30
2,1359,1290,0.6,1.0,3,850,27,44,64,47,61
2,1359,1290,0.6,1.0,4,695,88,10,49,83,35
2,1359,1290,0.6,1.0,5,182,95,23,47,84,53
2,1359,1290,0.6,1.0,6,182,55,64,20,9,98
2,1359,1290,0.6,1.0,7,68,54,47,61,30,94
2,1359,1290,0.6,1.0,8,1006,63,68,93,11,33
2,1359,1290,0.6,1.0,9,698,23,54,36,92,77
2,1359,1290,0.6,1.0,10,822,45,9,47,63,31
2,1359,1290,0.6,1.0,11,25,86,30,70,62,54
2,1359,1290,0.6,1.0,12,1126,43,31,54,75,71
2,1359,1290,0.6,1.0,13,967,43,92,87,48,78
2,1359,1290,0.6,1.0,14,247,40,7,13,23,9
2,1359,1290,0.6,1.0,15,212,37,14,40,85,79
2,1359,1290,0.6,1.0,16,214,54,95,34,23,51
2,1359,1290,0.6,1.0,17,354,35,76,55,4,76
2,1359,1290,0.6,1.0,18,610,59,82,13,31,56
2,1359,1290,0.6,1.0,19,502,43,91,11,13,80
2,1359,1290,0.6,1.0,20,339,50,37,5,98,72
2,1359,1290,0.8,0.2,1,226,26,59,78,88,69
2,1359,1290,0.8,0.2,2,374,38,62,90,54,30
2,1359,1290,0.8,0.2,3,318,27,44,64,47,61
2,1359,1290,0.8,0.2,4,283,88,10,49,83,35
2,1359,1290,0.8,0.2,5,169,95,23,47,84,53
2,1359,1290,0.8,0.2,6,169,55,64,20,9,98
2,1359,1290,0.8,0.2,7,144,54,47,61,30,94
2,1359,1290,0.8,0.2,8,352,63,68,93,11,33
2,1359,1290,0.8,0.2,9,284,23,54,36,92,77
2,1359,1290,0.8,0.2,10,312,45,9,47,63,31
2,1359,1290,0.8,0.2,11,134,86,30,70,62,54
2,1359,1290,0.8,0.2,12,379,43,31,54,75,71
2,1359,1290,0.8,0.2,13,344,43,92,87,48,78
2,1359,1290,0.8,0.2,14,184,40,7,13,23,9
2,1359,1290,0.8,0.2,15,176,37,14,40,85,79
2,1359,1290,0.8,0.2,16,176,54,95,34,23,51
2,1359,1290,0.8,0.2,17,207,35,76,55,4,76
2,1359,1290,0.8,0.2,18,264,59,82,13,31,56
2,1359,1290,0.8,0.2,19,240,43,91,11,13,80
2,1359,1290,0.8,0.2,20,204,50,37,5,98,72
2,1359,1290,0.8,0.6,1,242,26,59,78,88,69
2,1359,1290,0.8,0.6,2,613,38,62,90,54,30
2,1359,1290,0.8,0.6,3,472,27,44,64,47,61
2,1359,1290,0.8,0.6,4,387,88,10,49,83,35
2,1359,1290,0.8,0.6,5,101,95,23,47,84,53
2,1359,1290,0.8,0.6,6,101,55,64,20,9,98
2,1359,1290,0.8,0.6,7,38,54,47,61,30,94
2,1359,1290,0.8,0.6,8,559,63,68,93,11,33
2,1359,1290,0.8,0.6,9,388,23,54,36,92,77
2,1359,1290,0.8,0.6,10,457,45,9,47,63,31
2,1359,1290,0.8,0.6,11,14,86,30,70,62,54
2,1359,1290,0.8,0.6,12,626,43,31,54,75,71
2,1359,1290,0.8,0.6,13,537,43,92,87,48,78
2,1359,1290,0.8,0.6,14,138,40,7,13,23,9
2,1359,1290,0.8,0.6,15,118,37,14,40,85,79
2,1359,1290,0.8,0.6,16,119,54,95,34,23,51
2,1359,1290,0.8,0.6,17,197,35,76,55,4,76
2,1359,1290,0.8,0.6,18,339,59,82,13,31,56
2,1359,1290,0.8,0.6,19,279,43,91,11,13,80
2,1359,1290,0.8,0.6,20,189,50,37,5,98,72
